NAME                       MOUNTPOINT                 CANMOUNT  COMPRESS  ATIME  RDONLY
tank                       /tank                            on       lz4     on      on
tank/backup                none                            off      gzip    off      on
tank/backup/AspireOne      -                                 -      gzip      -      on
tank/backup/deep-thought   /tank/backup/deep-thought        on      gzip     on      on
tank/backup/frood-sda1     /tank/backup/frood-sda1          on      gzip     on      on
tank/frood                 none                            off       lz4    off     off
tank/frood/docker          /var/lib/docker                  on       lz4     on     off
tank/frood/docker-volumes  /var/lib/docker-volumes          on       lz4     on     off
tank/frood/var             /var                             on       lz4     on     off
tank/misc                  /tank/misc                       on       lz4     on     off
tank/misc/AspireOne        /tank/misc/AspireOne             on       lz4     on     off
tank/plex                  none                            off       lz4    off     off
tank/plex/config           /tank/plex/config                on       lz4     on     off
tank/plex/media            /tank/plex/media                 on       off     on     off
tank/plex/transcode        /tank/plex/transcode             on       off     on     off
tank/sandstorm             /tank/sandstorm                  on       lz4     on     off
